Region/Country/Area,Population density and surface area,Year,Series,Value
764,Thailand,2010,Population mid-year estimates for males (millions),33.86
764,Thailand,2010,Population mid-year estimates for females (millions),34.72
764,Thailand,2010,Sex ratio (males per 100 females),97.5
764,Thailand,2010,Population aged 0 to 14 years old (percentage),20.1
764,Thailand,2010,Population aged 60+ years old (percentage),12.6
764,Thailand,2010,Population density,134.2
764,Thailand,2015,Population mid-year estimates (millions),70.54
764,Thailand,2015,Population mid-year estimates for males (millions),34.68
764,Thailand,2015,Population mid-year estimates for females (millions),35.86
764,Thailand,2015,Sex ratio (males per 100 females),96.7
764,Thailand,2015,Population aged 0 to 14 years old (percentage),18.1
764,Thailand,2015,Population aged 60+ years old (percentage),15.3
764,Thailand,2015,Population density,138.1
764,Thailand,2022,Population mid-year estimates (millions),71.74
764,Thailand,2022,Population mid-year estimates for males (millions),35.01
764,Thailand,2022,Population mid-year estimates for females (millions),36.73
764,Thailand,2022,Sex ratio (males per 100 females),95.3
764,Thailand,2022,Population aged 0 to 14 years old (percentage),15.4
764,Thailand,2022,Population aged 60+ years old (percentage),20.4
764,Thailand,2022,Population density,140.4
764,Thailand,2022,Surface area (thousand km2),513
764,Thailand,2024,Population mid-year estimates (millions),71.67
764,Thailand,2024,Population mid-year estimates for males (millions),34.90
764,Thailand,2024,Population mid-year estimates for females (millions),36.77
764,Thailand,2024,Sex ratio (males per 100 females),94.9
764,Thailand,2024,Population aged 0 to 14 years old (percentage),14.7
764,Thailand,2024,Population aged 60+ years old (percentage),22.0
764,Thailand,2024,Population density,140.3
626,Timor-Leste,2010,Population mid-year estimates (millions),1.08
626,Timor-Leste,2010,Population mid-year estimates for males (millions),0.56
626,Timor-Leste,2010,Population mid-year estimates for females (millions),0.53
626,Timor-Leste,2010,Sex ratio (males per 100 females),104.9
626,Timor-Leste,2010,Population aged 0 to 14 years old (percentage),41.6
626,Timor-Leste,2010,Population aged 60+ years old (percentage),7.2
626,Timor-Leste,2010,Population density,72.9
626,Timor-Leste,2015,Population mid-year estimates (millions),1.21
626,Timor-Leste,2015,Population mid-year estimates for males (millions),0.61
626,Timor-Leste,2015,Population mid-year estimates for females (millions),0.59
626,Timor-Leste,2015,Sex ratio (males per 100 females),103.4
626,Timor-Leste,2015,Population aged 0 to 14 years old (percentage),39.1
626,Timor-Leste,2015,Population aged 60+ years old (percentage),7.7
626,Timor-Leste,2015,Population density,81.0
626,Timor-Leste,2022,Population mid-year estimates (millions),1.37
626,Timor-Leste,2022,Population mid-year estimates for males (millions),0.69
626,Timor-Leste,2022,Population mid-year estimates for females (millions),0.68
626,Timor-Leste,2022,Sex ratio (males per 100 females),101.6
626,Timor-Leste,2022,Population aged 0 to 14 years old (percentage),34.8
626,Timor-Leste,2022,Population aged 60+ years old (percentage),7.6
626,Timor-Leste,2022,Population density,92.1
626,Timor-Leste,2022,Surface area (thousand km2),15
626,Timor-Leste,2024,Population mid-year estimates (millions),1.40
626,Timor-Leste,2024,Population mid-year estimates for males (millions),0.71
626,Timor-Leste,2024,Population mid-year estimates for females (millions),0.69
626,Timor-Leste,2024,Sex ratio (males per 100 females),101.7
626,Timor-Leste,2024,Population aged 0 to 14 years old (percentage),33.7
626,Timor-Leste,2024,Population aged 60+ years old (percentage),7.5
626,Timor-Leste,2024,Population density,94.2
768,Togo,2010,Population mid-year estimates (millions),6.73
768,Togo,2010,Population mid-year estimates for males (millions),3.37
768,Togo,2010,Population mid-year estimates for females (millions),3.36
768,Togo,2010,Sex ratio (males per 100 females),100.3
768,Togo,2010,Population aged 0 to 14 years old (percentage),41.6
768,Togo,2010,Population aged 60+ years old (percentage),4.5
768,Togo,2010,Population density,123.8
768,Togo,2015,Population mid-year estimates (millions),7.66
768,Togo,2015,Population mid-year estimates for males (millions),3.85
768,Togo,2015,Population mid-year estimates for females (millions),3.82
768,Togo,2015,Sex ratio (males per 100 females),100.7
768,Togo,2015,Population aged 0 to 14 years old (percentage),41.5
768,Togo,2015,Population aged 60+ years old (percentage),4.7
768,Togo,2015,Population density,140.9
768,Togo,2022,Population mid-year estimates (millions),9.09
768,Togo,2022,Population mid-year estimates for males (millions),4.57
768,Togo,2022,Population mid-year estimates for females (millions),4.52
768,Togo,2022,Sex ratio (males per 100 females),101.2
768,Togo,2022,Population aged 0 to 14 years old (percentage),40.2
768,Togo,2022,Population aged 60+ years old (percentage),5.1
768,Togo,2022,Population density,167.1
768,Togo,2022,Surface area (thousand km2),57
768,Togo,2024,Population mid-year estimates (millions),9.52
768,Togo,2024,Population mid-year estimates for males (millions),4.79
768,Togo,2024,Population mid-year estimates for females (millions),4.73
768,Togo,2024,Sex ratio (males per 100 females),101.3
768,Togo,2024,Population aged 0 to 14 years old (percentage),39.5
768,Togo,2024,Population aged 60+ years old (percentage),5.2
768,Togo,2024,Population density,174.9
772,Tokelau,2010,Population mid-year estimates (millions),0.00
772,Tokelau,2010,Population mid-year estimates for males (millions),0.00
772,Tokelau,2010,Population mid-year estimates for females (millions),0.00
772,Tokelau,2010,Sex ratio (males per 100 females),103.4
772,Tokelau,2010,Population aged 0 to 14 years old (percentage),31.2
772,Tokelau,2010,Population aged 60+ years old (percentage),12.5
772,Tokelau,2010,Population density,132.0
772,Tokelau,2015,Population mid-year estimates (millions),0.00
772,Tokelau,2015,Population mid-year estimates for males (millions),0.00
772,Tokelau,2015,Population mid-year estimates for females (millions),0.00
772,Tokelau,2015,Sex ratio (males per 100 females),102.4
772,Tokelau,2015,Population aged 0 to 14 years old (percentage),29.4
772,Tokelau,2015,Population aged 60+ years old (percentage),12.9
772,Tokelau,2015,Population density,141.5
772,Tokelau,2022,Population mid-year estimates (millions),0.00
772,Tokelau,2022,Population mid-year estimates for males (millions),0.00
772,Tokelau,2022,Population mid-year estimates for females (millions),0.00
772,Tokelau,2022,Sex ratio (males per 100 females),96.0
772,Tokelau,2022,Population aged 0 to 14 years old (percentage),28.2
772,Tokelau,2022,Population aged 60+ years old (percentage),12.5
772,Tokelau,2022,Population density,190.8
772,Tokelau,2022,Surface area (thousand km2),0
772,Tokelau,2024,Population mid-year estimates (millions),0.00
772,Tokelau,2024,Population mid-year estimates for males (millions),0.00
772,Tokelau,2024,Population mid-year estimates for females (millions),0.00
772,Tokelau,2024,Sex ratio (males per 100 females),95.8
772,Tokelau,2024,Population aged 0 to 14 years old (percentage),26.1
772,Tokelau,2024,Population aged 60+ years old (percentage),12.6
772,Tokelau,2024,Population density,208.9
776,Tonga,2010,Population mid-year estimates (millions),0.11
776,Tonga,2010,Population mid-year estimates for males (millions),0.05
776,Tonga,2010,Population mid-year estimates for females (millions),0.05
776,Tonga,2010,Sex ratio (males per 100 females),100.0
776,Tonga,2010,Population aged 0 to 14 years old (percentage),37.6
776,Tonga,2010,Population aged 60+ years old (percentage),8.3
776,Tonga,2010,Population density,165.2
776,Tonga,2015,Population mid-year estimates (millions),0.11
776,Tonga,2015,Population mid-year estimates for males (millions),0.05
776,Tonga,2015,Population mid-year estimates for females (millions),0.05
776,Tonga,2015,Sex ratio (males per 100 females),97.9
776,Tonga,2015,Population aged 0 to 14 years old (percentage),36.7
776,Tonga,2015,Population aged 60+ years old (percentage),8.6
776,Tonga,2015,Population density,163.2
776,Tonga,2022,Population mid-year estimates (millions),0.11
776,Tonga,2022,Population mid-year estimates for males (millions),0.05
776,Tonga,2022,Population mid-year estimates for females (millions),0.05
776,Tonga,2022,Sex ratio (males per 100 females),91.4
776,Tonga,2022,Population aged 0 to 14 years old (percentage),35.6
776,Tonga,2022,Population aged 60+ years old (percentage),9.4
776,Tonga,2022,Population density,161.6
776,Tonga,2022,Surface area (thousand km2),1
776,Tonga,2024,Population mid-year estimates (millions),0.10
776,Tonga,2024,Population mid-year estimates for males (millions),0.05
776,Tonga,2024,Population mid-year estimates for females (millions),0.06
776,Tonga,2024,Sex ratio (males per 100 females),89.5
776,Tonga,2024,Population aged 0 to 14 years old (percentage),35.4
776,Tonga,2024,Population aged 60+ years old (percentage),9.7
776,Tonga,2024,Population density,160.3
780,Trinidad and Tobago,2010,Population mid-year estimates (millions),1.39
780,Trinidad and Tobago,2010,Population mid-year estimates for males (millions),0.69
780,Trinidad and Tobago,2010,Population mid-year estimates for females (millions),0.70
780,Trinidad and Tobago,2010,Sex ratio (males per 100 females),97.8
780,Trinidad and Tobago,2010,Population aged 0 to 14 years old (percentage),20.3
780,Trinidad and Tobago,2010,Population aged 60+ years old (percentage),10.3
780,Trinidad and Tobago,2010,Population density,270.3
780,Trinidad and Tobago,2015,Population mid-year estimates (millions),1.43
780,Trinidad and Tobago,2015,Population mid-year estimates for males (millions),0.71
780,Trinidad and Tobago,2015,Population mid-year estimates for females (millions),0.72
780,Trinidad and Tobago,2015,Sex ratio (males per 100 females),97.5
780,Trinidad and Tobago,2015,Population aged 0 to 14 years old (percentage),19.6
780,Trinidad and Tobago,2015,Population aged 60+ years old (percentage),13.2
780,Trinidad and Tobago,2015,Population density,278.6
780,Trinidad and Tobago,2022,Population mid-year estimates (millions),1.50
780,Trinidad and Tobago,2022,Population mid-year estimates for males (millions),0.74
780,Trinidad and Tobago,2022,Population mid-year estimates for females (millions),0.76
780,Trinidad and Tobago,2022,Sex ratio (males per 100 females),97.8
780,Trinidad and Tobago,2022,Population aged 0 to 14 years old (percentage),18.3
780,Trinidad and Tobago,2022,Population aged 60+ years old (percentage),17.3
780,Trinidad and Tobago,2022,Population density,291.6
780,Trinidad and Tobago,2022,Surface area (thousand km2),5
780,Trinidad and Tobago,2024,Population mid-year estimates (millions),1.51
780,Trinidad and Tobago,2024,Population mid-year estimates for males (millions),0.75
780,Trinidad and Tobago,2024,Population mid-year estimates for females (millions),0.76
780,Trinidad and Tobago,2024,Sex ratio (males per 100 females),97.8
780,Trinidad and Tobago,2024,Population aged 0 to 14 years old (percentage),17.8
780,Trinidad and Tobago,2024,Population aged 60+ years old (percentage),18.6
780,Trinidad and Tobago,2024,Population density,293.9
788,Tunisia,2010,Population mid-year estimates (millions),10.77
788,Tunisia,2010,Population mid-year estimates for males (millions),5.38
788,Tunisia,2010,Population mid-year estimates for females (millions),5.39
788,Tunisia,2010,Sex ratio (males per 100 females),99.9
788,Tunisia,2010,Population aged 0 to 14 years old (percentage),24.2
788,Tunisia,2010,Population aged 60+ years old (percentage),9.4
788,Tunisia,2010,Population density,69.3
788,Tunisia,2015,Population mid-year estimates (millions),11.40
788,Tunisia,2015,Population mid-year estimates for males (millions),5.67
788,Tunisia,2015,Population mid-year estimates for females (millions),5.73
788,Tunisia,2015,Sex ratio (males per 100 females),99.0
788,Tunisia,2015,Population aged 0 to 14 years old (percentage),24.7
788,Tunisia,2015,Population aged 60+ years old (percentage),10.9
788,Tunisia,2015,Population density,73.4
788,Tunisia,2022,Population mid-year estimates (millions),12.12
788,Tunisia,2022,Population mid-year estimates for males (millions),6.00
788,Tunisia,2022,Population mid-year estimates for females (millions),6.12
788,Tunisia,2022,Sex ratio (males per 100 females),98.0
788,Tunisia,2022,Population aged 0 to 14 years old (percentage),24.7
788,Tunisia,2022,Population aged 60+ years old (percentage),13.4
788,Tunisia,2022,Population density,78.0
788,Tunisia,2022,Surface area (thousand km2),164
788,Tunisia,2024,Population mid-year estimates (millions),12.28
788,Tunisia,2024,Population mid-year estimates for males (millions),6.07
788,Tunisia,2024,Population mid-year estimates for females (millions),6.21
788,Tunisia,2024,Sex ratio (males per 100 females),97.7
788,Tunisia,2024,Population aged 0 to 14 years old (percentage),24.0
788,Tunisia,2024,Population aged 60+ years old (percentage),14.4
788,Tunisia,2024,Population density,79.0
792,Türkiye,2010,Population mid-year estimates (millions),73.35
792,Türkiye,2010,Population mid-year estimates for males (millions),36.81
792,Türkiye,2010,Population mid-year estimates for females (millions),36.54
792,Türkiye,2010,Sex ratio (males per 100 females),100.8
792,Türkiye,2010,Population aged 0 to 14 years old (percentage),25.9
792,Türkiye,2010,Population aged 60+ years old (percentage),10.4
792,Türkiye,2010,Population density,95.3
792,Türkiye,2015,Population mid-year estimates (millions),80.01
792,Türkiye,2015,Population mid-year estimates for males (millions),40.11
792,Türkiye,2015,Population mid-year estimates for females (millions),39.91
792,Türkiye,2015,Sex ratio (males per 100 females),100.5
792,Türkiye,2015,Population aged 0 to 14 years old (percentage),23.9
792,Türkiye,2015,Population aged 60+ years old (percentage),11.5
792,Türkiye,2015,Population density,104.0
792,Türkiye,2022,Population mid-year estimates (millions),87.06
792,Türkiye,2022,Population mid-year estimates for males (millions),43.49
792,Türkiye,2022,Population mid-year estimates for females (millions),43.57
792,Türkiye,2022,Sex ratio (males per 100 females),99.8
792,Türkiye,2022,Population aged 0 to 14 years old (percentage),22.2
792,Türkiye,2022,Population aged 60+ years old (percentage),14.0
792,Türkiye,2022,Population density,113.1
792,Türkiye,2022,Surface area (thousand km2),784
792,Türkiye,2024,Population mid-year estimates (millions),87.47
792,Türkiye,2024,Population mid-year estimates for males (millions),43.66
792,Türkiye,2024,Population mid-year estimates for females (millions),43.81
792,Türkiye,2024,Sex ratio (males per 100 females),99.7
792,Türkiye,2024,Population aged 0 to 14 years old (percentage),21.4
792,Türkiye,2024,Population aged 60+ years old (percentage),15.0
792,Türkiye,2024,Population density,113.7
795,Turkmenistan,2010,Population mid-year estimates (millions),5.56
795,Turkmenistan,2010,Population mid-year estimates for males (millions),2.73
795,Turkmenistan,2010,Population mid-year estimates for females (millions),2.83
795,Turkmenistan,2010,Sex ratio (males per 100 females),96.3
795,Turkmenistan,2010,Population aged 0 to 14 years old (percentage),30.3
795,Turkmenistan,2010,Population aged 60+ years old (percentage),5.5
795,Turkmenistan,2010,Population density,11.8
795,Turkmenistan,2015,Population mid-year estimates (millions),6.22
795,Turkmenistan,2015,Population mid-year estimates for males (millions),3.04
795,Turkmenistan,2015,Population mid-year estimates for females (millions),3.17
795,Turkmenistan,2015,Sex ratio (males per 100 females),96.0
795,Turkmenistan,2015,Population aged 0 to 14 years old (percentage),29.7
795,Turkmenistan,2015,Population aged 60+ years old (percentage),5.9
795,Turkmenistan,2015,Population density,13.2
795,Turkmenistan,2022,Population mid-year estimates (millions),7.23
795,Turkmenistan,2022,Population mid-year estimates for males (millions),3.54
795,Turkmenistan,2022,Population mid-year estimates for females (millions),3.69
795,Turkmenistan,2022,Sex ratio (males per 100 females),96.0
795,Turkmenistan,2022,Population aged 0 to 14 years old (percentage),31.7
795,Turkmenistan,2022,Population aged 60+ years old (percentage),7.3
795,Turkmenistan,2022,Population density,15.4
795,Turkmenistan,2022,Surface area (thousand km2),488
795,Turkmenistan,2024,Population mid-year estimates (millions),7.49
795,Turkmenistan,2024,Population mid-year estimates for males (millions),3.68
795,Turkmenistan,2024,Population mid-year estimates for females (millions),3.82
795,Turkmenistan,2024,Sex ratio (males per 100 females),96.4
795,Turkmenistan,2024,Population aged 0 to 14 years old (percentage),31.5
795,Turkmenistan,2024,Population aged 60+ years old (percentage),7.9
795,Turkmenistan,2024,Population density,15.9
796,Turks and Caicos Islands,2010,Population mid-year estimates (millions),0.03
796,Turks and Caicos Islands,2010,Population mid-year estimates for males (millions),0.02
796,Turks and Caicos Islands,2010,Population mid-year estimates for females (millions),0.01
796,Turks and Caicos Islands,2010,Sex ratio (males per 100 females),102.9
796,Turks and Caicos Islands,2010,Population aged 0 to 14 years old (percentage),22.9
796,Turks and Caicos Islands,2010,Population aged 60+ years old (percentage),9.5
796,Turks and Caicos Islands,2010,Population density,31.3
796,Turks and Caicos Islands,2015,Population mid-year estimates (millions),0.04
796,Turks and Caicos Islands,2015,Population mid-year estimates for males (millions),0.02
796,Turks and Caicos Islands,2015,Population mid-year estimates for females (millions),0.02
796,Turks and Caicos Islands,2015,Sex ratio (males per 100 females),101.6
796,Turks and Caicos Islands,2015,Population aged 0 to 14 years old (percentage),18.8
796,Turks and Caicos Islands,2015,Population aged 60+ years old (percentage),12.4
796,Turks and Caicos Islands,2015,Population density,38.5
796,Turks and Caicos Islands,2022,Population mid-year estimates (millions),0.05
796,Turks and Caicos Islands,2022,Population mid-year estimates for males (millions),0.02
796,Turks and Caicos Islands,2022,Population mid-year estimates for females (millions),0.02
796,Turks and Caicos Islands,2022,Sex ratio (males per 100 females),100.3
796,Turks and Caicos Islands,2022,Population aged 0 to 14 years old (percentage),16.4
796,Turks and Caicos Islands,2022,Population aged 60+ years old (percentage),15.9
796,Turks and Caicos Islands,2022,Population density,48.3
796,Turks and Caicos Islands,2022,Surface area (thousand km2),1
796,Turks and Caicos Islands,2024,Population mid-year estimates (millions),0.05
796,Turks and Caicos Islands,2024,Population mid-year estimates for males (millions),0.02
796,Turks and Caicos Islands,2024,Population mid-year estimates for females (millions),0.02
796,Turks and Caicos Islands,2024,Sex ratio (males per 100 females),100.2
796,Turks and Caicos Islands,2024,Population aged 0 to 14 years old (percentage),16.1
796,Turks and Caicos Islands,2024,Population aged 60+ years old (percentage),16.9
796,Turks and Caicos Islands,2024,Population density,49.0
798,Tuvalu,2010,Population mid-year estimates (millions),0.01
798,Tuvalu,2010,Population mid-year estimates for males (millions),0.01
798,Tuvalu,2010,Population mid-year estimates for females (millions),0.01
798,Tuvalu,2010,Sex ratio (males per 100 females),103.1
798,Tuvalu,2010,Population aged 0 to 14 years old (percentage),32.8
798,Tuvalu,2010,Population aged 60+ years old (percentage),8.3
798,Tuvalu,2010,Population density,353.8
798,Tuvalu,2015,Population mid-year estimates (millions),0.01
798,Tuvalu,2015,Population mid-year estimates for males (millions),0.01
798,Tuvalu,2015,Population mid-year estimates for females (millions),0.01
798,Tuvalu,2015,Sex ratio (males per 100 females),105.0
798,Tuvalu,2015,Population aged 0 to 14 years old (percentage),31.9
798,Tuvalu,2015,Population aged 60+ years old (percentage),8.7
798,Tuvalu,2015,Population density,365.4
798,Tuvalu,2022,Population mid-year estimates (millions),0.01
798,Tuvalu,2022,Population mid-year estimates for males (millions),0.01
798,Tuvalu,2022,Population mid-year estimates for females (millions),0.00
798,Tuvalu,2022,Sex ratio (males per 100 females),104.7
798,Tuvalu,2022,Population aged 0 to 14 years old (percentage),32.0
798,Tuvalu,2022,Population aged 60+ years old (percentage),10.0
798,Tuvalu,2022,Population density,333.1
798,Tuvalu,2022,Surface area (thousand km2),0
798,Tuvalu,2024,Population mid-year estimates (millions),0.01
798,Tuvalu,2024,Population mid-year estimates for males (millions),0.00
798,Tuvalu,2024,Population mid-year estimates for females (millions),0.00
798,Tuvalu,2024,Sex ratio (males per 100 females),104.8
798,Tuvalu,2024,Population aged 0 to 14 years old (percentage),32.9
798,Tuvalu,2024,Population aged 60+ years old (percentage),11.1
798,Tuvalu,2024,Population density,321.5
800,Uganda,2010,Population mid-year estimates (millions),32.39
800,Uganda,2010,Population mid-year estimates for males (millions),15.98
800,Uganda,2010,Population mid-year estimates for females (millions),16.41
800,Uganda,2010,Sex ratio (males per 100 females),97.3
800,Uganda,2010,Population aged 0 to 14 years old (percentage),49.5
800,Uganda,2010,Population aged 60+ years old (percentage),3.0
800,Uganda,2010,Population density,162.1
800,Uganda,2015,Population mid-year estimates (millions),37.53
800,Uganda,2015,Population mid-year estimates for males (millions),18.55
800,Uganda,2015,Population mid-year estimates for females (millions),18.98
800,Uganda,2015,Sex ratio (males per 100 females),97.7
800,Uganda,2015,Population aged 0 to 14 years old (percentage),48.1
800,Uganda,2015,Population aged 60+ years old (percentage),3.1
800,Uganda,2015,Population density,187.8
800,Uganda,2022,Population mid-year estimates (millions),47.31
800,Uganda,2022,Population mid-year estimates for males (millions),23.45
800,Uganda,2022,Population mid-year estimates for females (millions),23.86
800,Uganda,2022,Sex ratio (males per 100 females),98.3
800,Uganda,2022,Population aged 0 to 14 years old (percentage),44.3
800,Uganda,2022,Population aged 60+ years old (percentage),3.4
800,Uganda,2022,Population density,236.8
800,Uganda,2022,Surface area (thousand km2),242
800,Uganda,2024,Population mid-year estimates (millions),50.02
800,Uganda,2024,Population mid-year estimates for males (millions),24.81
800,Uganda,2024,Population mid-year estimates for females (millions),25.21
800,Uganda,2024,Sex ratio (males per 100 females),98.4
800,Uganda,2024,Population aged 0 to 14 years old (percentage),43.5
800,Uganda,2024,Population aged 60+ years old (percentage),3.5
800,Uganda,2024,Population density,250.3
804,Ukraine,2010,Population mid-year estimates (millions),46.46
804,Ukraine,2010,Population mid-year estimates for males (millions),21.59
804,Ukraine,2010,Population mid-year estimates for females (millions),24.86
804,Ukraine,2010,Sex ratio (males per 100 females),86.8
804,Ukraine,2010,Population aged 0 to 14 years old (percentage),14.1
804,Ukraine,2010,Population aged 60+ years old (percentage),19.9
804,Ukraine,2010,Population density,80.2
804,Ukraine,2015,Population mid-year estimates (millions),45.78
804,Ukraine,2015,Population mid-year estimates for males (millions),21.32
804,Ukraine,2015,Population mid-year estimates for females (millions),24.46
804,Ukraine,2015,Sex ratio (males per 100 females),87.2
804,Ukraine,2015,Population aged 0 to 14 years old (percentage),15.1
804,Ukraine,2015,Population aged 60+ years old (percentage),21.4
804,Ukraine,2015,Population density,79.0
804,Ukraine,2022,Population mid-year estimates (millions),41.05
804,Ukraine,2022,Population mid-year estimates for males (millions),19.12
804,Ukraine,2022,Population mid-year estimates for females (millions),21.93
804,Ukraine,2022,Sex ratio (males per 100 females),87.2
804,Ukraine,2022,Population aged 0 to 14 years old (percentage),14.8
804,Ukraine,2022,Population aged 60+ years old (percentage),25.1
804,Ukraine,2022,Population density,70.9
804,Ukraine,2022,Surface area (thousand km2),604
804,Ukraine,2024,Population mid-year estimates (millions),37.86
804,Ukraine,2024,Population mid-year estimates for males (millions),17.60
804,Ukraine,2024,Population mid-year estimates for females (millions),20.26
804,Ukraine,2024,Sex ratio (males per 100 females),86.9
804,Ukraine,2024,Population aged 0 to 14 years old (percentage),13.9
804,Ukraine,2024,Population aged 60+ years old (percentage),26.3
804,Ukraine,2024,Population density,65.4
784,United Arab Emirates,2010,Population mid-year estimates (millions),6.94
784,United Arab Emirates,2010,Population mid-year estimates for males (millions),4.63
784,United Arab Emirates,2010,Population mid-year estimates for females (millions),2.31
784,United Arab Emirates,2010,Sex ratio (males per 100 females),200.3
784,United Arab Emirates,2010,Population aged 0 to 14 years old (percentage),16.9
784,United Arab Emirates,2010,Population aged 60+ years old (percentage),3.1
784,United Arab Emirates,2010,Population density,97.7
784,United Arab Emirates,2015,Population mid-year estimates (millions),8.67
784,United Arab Emirates,2015,Population mid-year estimates for males (millions),5.64
784,United Arab Emirates,2015,Population mid-year estimates for females (millions),3.04
784,United Arab Emirates,2015,Sex ratio (males per 100 females),185.6
784,United Arab Emirates,2015,Population aged 0 to 14 years old (percentage),16.8
784,United Arab Emirates,2015,Population aged 60+ years old (percentage),3.2
784,United Arab Emirates,2015,Population density,122.1
784,United Arab Emirates,2022,Population mid-year estimates (millions),10.24
784,United Arab Emirates,2022,Population mid-year estimates for males (millions),6.57
784,United Arab Emirates,2022,Population mid-year estimates for females (millions),3.68
784,United Arab Emirates,2022,Sex ratio (males per 100 females),178.6
784,United Arab Emirates,2022,Population aged 0 to 14 years old (percentage),16.5
784,United Arab Emirates,2022,Population aged 60+ years old (percentage),3.3
784,United Arab Emirates,2022,Population density,144.2
784,United Arab Emirates,2022,Surface area (thousand km2),71
784,United Arab Emirates,2024,Population mid-year estimates (millions),11.03
784,United Arab Emirates,2024,Population mid-year estimates for males (millions),7.05
784,United Arab Emirates,2024,Population mid-year estimates for females (millions),3.98
784,United Arab Emirates,2024,Sex ratio (males per 100 females),177.0
784,United Arab Emirates,2024,Population aged 0 to 14 years old (percentage),16.1
784,United Arab Emirates,2024,Population aged 60+ years old (percentage),3.7
784,United Arab Emirates,2024,Population density,155.3
826,United Kingdom,2010,Population mid-year estimates (millions),63.01
826,United Kingdom,2010,Population mid-year estimates for males (millions),30.78
826,United Kingdom,2010,Population mid-year estimates for females (millions),32.23
826,United Kingdom,2010,Sex ratio (males per 100 females),95.5
826,United Kingdom,2010,Population aged 0 to 14 years old (percentage),17.8
826,United Kingdom,2010,Population aged 60+ years old (percentage),22.3
826,United Kingdom,2010,Population density,259.6
826,United Kingdom,2015,Population mid-year estimates (millions),65.38
826,United Kingdom,2015,Population mid-year estimates for males (millions),32.06
826,United Kingdom,2015,Population mid-year estimates for females (millions),33.32
826,United Kingdom,2015,Sex ratio (males per 100 females),96.2
826,United Kingdom,2015,Population aged 0 to 14 years old (percentage),17.9
826,United Kingdom,2015,Population aged 60+ years old (percentage),23.2
826,United Kingdom,2015,Population density,269.3
826,United Kingdom,2022,Population mid-year estimates (millions),68.18
826,United Kingdom,2022,Population mid-year estimates for males (millions),33.56
826,United Kingdom,2022,Population mid-year estimates for females (millions),34.62
826,United Kingdom,2022,Sex ratio (males per 100 females),96.9
826,United Kingdom,2022,Population aged 0 to 14 years old (percentage),17.6
826,United Kingdom,2022,Population aged 60+ years old (percentage),24.8
826,United Kingdom,2022,Population density,280.9
826,United Kingdom,2022,Surface area (thousand km2),242
826,United Kingdom,2024,Population mid-year estimates (millions),69.14
826,United Kingdom,2024,Population mid-year estimates for males (millions),34.04
826,United Kingdom,2024,Population mid-year estimates for females (millions),35.09
826,United Kingdom,2024,Sex ratio (males per 100 females),97.0
826,United Kingdom,2024,Population aged 0 to 14 years old (percentage),17.2
826,United Kingdom,2024,Population aged 60+ years old (percentage),25.5
826,United Kingdom,2024,Population density,284.8
834,United Rep. of Tanzania,2010,Population mid-year estimates (millions),44.76
834,United Rep. of Tanzania,2010,Population mid-year estimates for males (millions),22.07
834,United Rep. of Tanzania,2010,Population mid-year estimates for females (millions),22.69
834,United Rep. of Tanzania,2010,Sex ratio (males per 100 females),97.3
834,United Rep. of Tanzania,2010,Population aged 0 to 14 years old (percentage),45.3
834,United Rep. of Tanzania,2010,Population aged 60+ years old (percentage),4.5
834,United Rep. of Tanzania,2010,Population density,50.5
834,United Rep. of Tanzania,2015,Population mid-year estimates (millions),52.02
834,United Rep. of Tanzania,2015,Population mid-year estimates for males (millions),25.69
834,United Rep. of Tanzania,2015,Population mid-year estimates for females (millions),26.33
834,United Rep. of Tanzania,2015,Sex ratio (males per 100 females),97.6
834,United Rep. of Tanzania,2015,Population aged 0 to 14 years old (percentage),44.5
834,United Rep. of Tanzania,2015,Population aged 60+ years old (percentage),4.6
834,United Rep. of Tanzania,2015,Population density,58.7
834,United Rep. of Tanzania,2022,Population mid-year estimates (millions),64.71
834,United Rep. of Tanzania,2022,Population mid-year estimates for males (millions),32.07
834,United Rep. of Tanzania,2022,Population mid-year estimates for females (millions),32.65
834,United Rep. of Tanzania,2022,Sex ratio (males per 100 females),98.2
834,United Rep. of Tanzania,2022,Population aged 0 to 14 years old (percentage),42.9
834,United Rep. of Tanzania,2022,Population aged 60+ years old (percentage),4.5
834,United Rep. of Tanzania,2022,Population density,73.1
834,United Rep. of Tanzania,2022,Surface area (thousand km2),947
834,United Rep. of Tanzania,2024,Population mid-year estimates (millions),68.56
834,United Rep. of Tanzania,2024,Population mid-year estimates for males (millions),33.98
834,United Rep. of Tanzania,2024,Population mid-year estimates for females (millions),34.58
834,United Rep. of Tanzania,2024,Sex ratio (males per 100 females),98.3
834,United Rep. of Tanzania,2024,Population aged 0 to 14 years old (percentage),42.5
834,United Rep. of Tanzania,2024,Population aged 60+ years old (percentage),4.5
834,United Rep. of Tanzania,2024,Population density,77.4
840,United States of America,2010,Population mid-year estimates (millions),311.06
840,United States of America,2010,Population mid-year estimates for males (millions),155.16
840,United States of America,2010,Population mid-year estimates for females (millions),155.91
840,United States of America,2010,Sex ratio (males per 100 females),99.5
840,United States of America,2010,Population aged 0 to 14 years old (percentage),19.7
840,United States of America,2010,Population aged 60+ years old (percentage),18.3
840,United States of America,2010,Population density,34.0
840,United States of America,2015,Population mid-year estimates (millions),326.13
840,United States of America,2015,Population mid-year estimates for males (millions),163.46
